skillid,skillname,category,reviewer,star,title,date,content
B0787M1125,hey yinz,Utilities,chris hester,3.0 out of 5 stars,Irhn city,"Reviewed in the United States on December 22, 2017",This app always has to know stuff.. Pretty  nebby if you ask me.
B072XGTRR8,Translate This,Utilities,Diedra Holley,1.0 out of 5 stars,Waste,"Reviewed in the United States on July 9, 2017",There are three phrases in French.  Really?  Seems like a skill someone played at bt never finished.
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Super weak,"Reviewed in the United States on February 14, 2018","Only 3 languages and 4 words. Pronounces ""hola"" as ""hello-ah"""
B072XGTRR8,Translate This,Utilities,David D.,1.0 out of 5 stars,Translate worst ever,"Reviewed in the United States on July 8, 2017","3 words in Spanish... That's it...Congratulations app maker, you've disabled yourself."
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Useless. If there was a way to rate this app less than one star I would. It's limited to three phrases and the pronunciation is,"Reviewed in the United States on October 9, 2017",FIFA 06 cover When was the Monster You were here Avril Lavigne if there was a way to rate this app less than one star I would if there was a way to rate this app less than one star I would. Absolutely useless capability is 3 phrases in the pronunciation is completely horrible
B072XGTRR8,Translate This,Utilities,Felicia C.,1.0 out of 5 stars,Limited Vocabulary,"Reviewed in the United States on July 19, 2018","She can only translate3 phases? Hello, goodbye and How are You?  I already know them"
B072XGTRR8,Translate This,Utilities,Biocin,4.0 out of 5 stars,OUCH....POOR ALEXA.....NOT HER FAULT....,"Reviewed in the United States on November 21, 2019","My last review here was for a different program.THIS APP SHOULD EMBARRASS AMAZON!!! You need to answer the same three questions....*Would you like to play? (y or n), what language (lists 4 ), which phrase would you like to translate? 1) Hello, 2) how are you, or 3) Goodbye” when translating! hello is ‘oh la’ in an extreme ENGLISH style,  no accent at all. It sounds like me in my first week on Duolingo.com!! aThe second, “Como es tar” sounded exactly like I wrote it. The third word, sounds like, “Ah dee ooos” please get rid of this 😂skill🤣! it is no good for anything."
B072XGTRR8,Translate This,Utilities,Mark D. Mercer,1.0 out of 5 stars,An unbelievable waste of time,"Reviewed in the United States on July 2, 2017","The Spanish translation only has three phrases available: ""hello"" ""goodbye"" & ""how are you?""  Not a true translator app. So, what's the point?????"
B072XGTRR8,Translate This,Utilities,AmazonAddict,1.0 out of 5 stars,Zero Stars,"Reviewed in the United States on July 11, 2019",Three words? Seriously? Does anyone screen these apps before they're released?
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Zero stars if i could.,"Reviewed in the United States on January 11, 2020",Just three phrases? This app is useless.
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,Idk,"Reviewed in the United States on March 4, 2022",It sucked! Only three phases
B072XGTRR8,Translate This,Utilities,Amazon Customer,1.0 out of 5 stars,bad.,"Reviewed in the United States on July 26, 2019",too baad.😡
B072XGTRR8,Translate This,Utilities,Daniel Gallagher,1.0 out of 5 stars,totałly useless,"Reviewed in the United States on October 21, 2021",only 3 phrases...totally useless
B072XGTRR8,Translate This,Utilities,kaw700zn,1.0 out of 5 stars,Knows 3 words!?,"Reviewed in the United States on December 23, 2018",This is a joke. It literally knows 3 words.
B072XGTRR8,Translate This,Utilities,Ajo,1.0 out of 5 stars,not good,"Reviewed in the United States on August 5, 2019",cluncky
B072XGTRR8,Translate This,Utilities,Maddie,1.0 out of 5 stars,Useless,"Reviewed in the United States on July 12, 2017","This translation app has 3 short sentences for 3 languages. Totally useless. Save yourself the time and enable ""Translated"" instead."
B072XGTRR8,Translate This,Utilities,Macrobe,1.0 out of 5 stars,Add English (Australia)!!,"Reviewed in the United States on December 31, 2019","Add Australia so we can use this app, please!"
B072XGTRR8,Translate This,Utilities,Mar,4.0 out of 5 stars,Great app.,"Reviewed in the United States on September 23, 2017",This was a fun app.
B072XGTRR8,Translate This,Utilities,Liz Holbrook,1.0 out of 5 stars,Translator?,"Reviewed in the United States on December 9, 2017",Not a translator when only offers 3 words
B07SRZYP49,Quick Italian,Utilities,T. Kennedy,4.0 out of 5 stars,"easy to understand, however speed too fast","Reviewed in the United States on August 17, 2021","clear responses, easy to undeestand, however, would like to have it slow down. better than othwr Italian apps here on Alexa. ao for now i will keep it."
B07SRZYP49,Quick Italian,Utilities,rick b,1.0 out of 5 stars,doesn't work,"Reviewed in the United States on August 22, 2020","i kept saying sentences and single words and alexa would say, i cant understand what you're saying."
B07SMSMKZG,Quick German,Utilities,TommyBoy,5.0 out of 5 stars,It works!,"Reviewed in the United States on June 2, 2019",Needed something to do a quick translation and this does it.
B07SMSMKZG,Quick German,Utilities,ABZoomAbout,4.0 out of 5 stars,Translator does not have a German accent.,"Reviewed in the United States on February 25, 2021","Accurate so far, but the translator has an American English accent. Would prefer to hear translations back w a German accent to hear how it is natively enunciated."
B07SMSMKZG,Quick German,Utilities,Dovewatch,4.0 out of 5 stars,I want to learn German,"Reviewed in the United States on December 15, 2020",pretty good to use while learning
B07D9Q77MZ,Phone Number Check,Utilities,creaky,1.0 out of 5 stars,Phone number/Calculator?,"Reviewed in the United States on December 6, 2018","Alexa cannot stop herself from taking the phone number and showing her amazing calculating skills, no phone number info.  She has a long way to go with this skill."
B07D9Q77MZ,Phone Number Check,Utilities,Michael J Morse,1.0 out of 5 stars,will not work for any phone number i have tried,"Reviewed in the United States on February 18, 2019",does not work for any number i have tried.
B07D9Q77MZ,Phone Number Check,Utilities,Ronna T,1.0 out of 5 stars,16 billion 146 million,"Reviewed in the United States on February 15, 2019",16 billion 146 million bla bla bla is not a valid number haha
B07D9Q77MZ,Phone Number Check,Utilities,Super Max,1.0 out of 5 stars,USELESS,"Reviewed in the United States on January 14, 2021","Reports every phone number as a landline even when cellular. I wouldn't describe this as a ""skill""."
B07D9Q77MZ,Phone Number Check,Utilities,Paul Patrin,1.0 out of 5 stars,Will not work for me,"Reviewed in the United States on February 17, 2019","it will not give me information about any phone # Alexa says 7billion, 7 million etc is not.a valid phone #"
B07D9Q77MZ,Phone Number Check,Utilities,Nickolas James,2.0 out of 5 stars,"Not a ""Live Lookup""","Reviewed in the United States on August 30, 2019","It doesn't do any live information lookups, only returning the original number assignment and not any port that may have occured"
B07D9Q77MZ,Phone Number Check,Utilities,Sirlazer,1.0 out of 5 stars,This doesn't work,"Reviewed in the United States on February 15, 2019",I put my cellphone # and it told it was an invalid.
B07D9Q77MZ,Phone Number Check,Utilities,JT,1.0 out of 5 stars,useless,"Reviewed in the United States on December 31, 2020",all alexa sayd is some odd billion number is not a valid phone number
B07D9Q77MZ,Phone Number Check,Utilities,Charlie Heth ,1.0 out of 5 stars,NOPE!😩,"Reviewed in the United States on March 20, 2019",just tell you if it cell or landline no help here...
B07D9Q77MZ,Phone Number Check,Utilities,Jeffrey M. Palen,1.0 out of 5 stars,doesn't work,"Reviewed in the United States on March 18, 2020","you have to rattle off the 10 digit number very fast, then she replies with ""not a valid phone number"""
B07D9Q77MZ,Phone Number Check,Utilities,Roxana Lord,1.0 out of 5 stars,phone number,"Reviewed in the United States on December 16, 2021",this site is useless.  i have Google not Alexa.  two Visa cards i ordered are in Chinese.  who are the two cards i purchased on dec 15th?
B07D9Q77MZ,Phone Number Check,Utilities,Amazon Customer,1.0 out of 5 stars,Need phone number to change credit card number,"Reviewed in the United States on January 19, 2022",Terrible!! Cannot find option phone or test to change credit card number‼️
B07D9Q77MZ,Phone Number Check,Utilities,nicole,5.0 out of 5 stars,great,"Reviewed in the United States on April 23, 2019",amazing
B07D9Q77MZ,Phone Number Check,Utilities,RO,1.0 out of 5 stars,useless,"Reviewed in the United States on December 10, 2019",messes up my own Ph #
B07D9Q77MZ,Phone Number Check,Utilities,Steven R.,1.0 out of 5 stars,"Alexa is easily, confused","Reviewed in the United States on November 1, 2018","Alexa could not respond to a telephone number inquiry 9 of 10 times even though numbers were each valid, not marked private, and known to be working numbers."
B07D9Q77MZ,Phone Number Check,Utilities,joan sargent,1.0 out of 5 stars,Hhh,"Reviewed in the United States on August 6, 2020",I need the phone number
B07D9Q77MZ,Phone Number Check,Utilities,Amazon Customer,1.0 out of 5 stars,Alexa doesn’t understand,"Reviewed in the United States on November 28, 2018","Me: Alexa tell me about “111-111-1111”Alexa: the answer to your calculation is “1,111,111,111”(Not what I asked)"
B07D9Q77MZ,Phone Number Check,Utilities,Amazon Customer,1.0 out of 5 stars,cant talk to a person,"Reviewed in the United States on March 12, 2020",this totally SUCKS  I want to talk to someone i tried fixing payment method.  but it wont let me
B07D9Q77MZ,Phone Number Check,Utilities,Alonzo Burgess,1.0 out of 5 stars,All I want is a live person !,"Reviewed in the United States on August 7, 2021","To much runaround, want to talk to a real live person. Alexa seems to be on vacation, it doesn't work. Simple problem. no answers.  thanks"
B07D9Q77MZ,Phone Number Check,Utilities,Ellen Booth,5.0 out of 5 stars,Kindle fire,"Reviewed in the United States on May 23, 2020",Hi my kindle fire was stolen at anchorage please if I can get it replaced for a new one my phone #{907)888-0892 thanks
B07D9Q77MZ,Phone Number Check,Utilities,Jons Supnet,5.0 out of 5 stars,Works,"Reviewed in the United States on March 21, 2020",Tells location of phone number...
B07MM3RHQ8,RosterBuster RosterBot,Utilities,Prime guy,1.0 out of 5 stars,useless!!!,"Reviewed in the United States on October 20, 2019",what an absolute piece of junk!!! it is incredibly difficult to connect to Alexa as well as Facebook and i keep getting “i can not connect to bla bla bla” or “are you sure you entered the correct code” (though it was copied using your feature). Most useless skill ever on Alexa and bot intuitive at all!!!
B07G4DH38N,Baby Sleep White Noise,Utilities,Tim,2.0 out of 5 stars,"Only plays one sound, rainstorm","Reviewed in the United States on January 18, 2019","The skill descripes 6 sounds that it will play. It only plays the rainstorm. There is no option to play ocean, crackling wood etc."
B07G4DH38N,Baby Sleep White Noise,Utilities,Cindy C,3.0 out of 5 stars,how do you change tracks?,"Reviewed in the United States on July 18, 2021",says there are 6 tracks but can’t find how to change them!  i sure dont think thinderstorms would be my top for calming sounds!!
B07G4DH38N,Baby Sleep White Noise,Utilities,Jay Bird,1.0 out of 5 stars,Doesn't work,"Reviewed in the United States on September 29, 2019",Can't change the sounds - only plays thunderstorm
B07G4DH38N,Baby Sleep White Noise,Utilities,Kfran,1.0 out of 5 stars,Disabling,"Reviewed in the United States on January 4, 2020",It does not play the other tracks and does not inform you how to get to the orher tracks.
B07G4DH38N,Baby Sleep White Noise,Utilities,Matthew M. Hawes,5.0 out of 5 stars,love it,"Reviewed in the United States on December 26, 2018",the noise was so clear and was such a settle sound to sleep to. this sound was not anoying like alot of other sounds!!!
B07G4DH38N,Baby Sleep White Noise,Utilities,Ana Kayyali,5.0 out of 5 stars,Very good,"Reviewed in the United States on October 13, 2019",Helps my granddaughter sleep
B07G4DH38N,Baby Sleep White Noise,Utilities,Carmen Wade,3.0 out of 5 stars,helps baby,"Reviewed in the United States on July 21, 2019",helps little one snooze
B07G4DH38N,Baby Sleep White Noise,Utilities,alexandra,5.0 out of 5 stars,good skill,"Reviewed in the United States on July 15, 2019","perfect alternative for the nursery, it soothes my baby"
B07G4DH38N,Baby Sleep White Noise,Utilities,J. Ables,1.0 out of 5 stars,terrible app with great sound,"Reviewed in the United States on September 14, 2019","the sound is beautiful, crispt and clear — but theres no information on how to change the sounds, which is extremely frustrating"
B07G4DH38N,Baby Sleep White Noise,Utilities,Amazon Customer,5.0 out of 5 stars,When playing all night it’s great,"Reviewed in the United States on September 16, 2019",If it will continue to play on a loop it is great for helping my baby sleep.
B07G4DH38N,Baby Sleep White Noise,Utilities,Roni,5.0 out of 5 stars,baby sleep white noise,"Reviewed in the United States on August 17, 2019",great app!!
B07H3M949N,Phone Number Detail,Utilities,Sylvia K.,1.0 out of 5 stars,Damaged desk &missing a part J3& In are the part bums in,"Reviewed in the United States on December 24, 2021",I like it because we have most of it done but then it was damaged enroute and I need a J3 & IJ TO FIX THIS I WILL TAKEIT LIKE THIS WITH MY PROBLEMS WITH IT FULL REFUND AND THE PARTS TAKE IT OR LEAVE IT LMKB
B07H3M949N,Phone Number Detail,Utilities,Paul,2.0 out of 5 stars,Paul,"Reviewed in the United States on August 31, 2020","He is right, it does not work vert well."
B07H3M949N,Phone Number Detail,Utilities,Anna,3.0 out of 5 stars,Mis últimos pedidos,"Reviewed in the United States on August 12, 2020",Necesitó saber porque me cobraron dinero de más tenían que cobrarme 55.50 y me cobraron 72.15 necesito que me devuelvan los que cobraron de más gracias
B07H3M949N,Phone Number Detail,Utilities,b,2.0 out of 5 stars,🚮,"Reviewed in the United States on December 6, 2018",Does not work very well
B07MY49DQX,Currency Converter,Utilities,Vincent A,2.0 out of 5 stars,on the right track,"Reviewed in the United States on December 22, 2019","seemingly the most user friendly of this category, but absured that chinese yuan isnt supported, as more intl. transactions occur with china than any other country, by a landslide. why did you even make the app then? purely for euro travellers?"
B07MY49DQX,Currency Converter,Utilities,wildbill,3.0 out of 5 stars,needed and necessary- but needs work,"Reviewed in the United States on February 27, 2020","First off, why does the skill close after each request? It is a Big Time Waster!Second, why does it keep saying countries are not added to the skill, yet can answer the price using the currency name? Lastly, Why not publish a list of the 25 most asked currency values AND the top 25 Digital currency valuations? I would like that & I think Many others would too!"
B07NP25HGC,Baby Weight Tracker,Utilities,Tadeu Araujo,5.0 out of 5 stars,Cool!,"Reviewed in the United States on April 17, 2019","Very cool skill, helpful and easy to use."
B07NP25HGC,Baby Weight Tracker,Utilities,Sam,5.0 out of 5 stars,good so far,"Reviewed in the United States on May 20, 2019",good so far
B07LB1BRLD,Orbit,Utilities,Scott S,5.0 out of 5 stars,Great Skill,"Reviewed in the United States on February 23, 2019",I have been using my orbit key finder for a year now and this alexa skill makes it even better. Now i can find my keys without having to spend time opening an app or browser
B07LB1BRLD,Orbit,Utilities,Adrian Nicolaiev,5.0 out of 5 stars,Alexa 100%,"Reviewed in the United States on February 24, 2019","I've just updated Orbit App in my smartphone and was noticed about this new feature using Alexa voice commands. Congrats! Alexa is working 100% with Orbit skill. ""Alexa, ask Orbit to ring my phone"" or ""Alexa, ask Orbit to find my luggage""."
B07L624HNC,Cruise Countdown,Utilities,timf,4.0 out of 5 stars,A basic calendar/event counter,"Reviewed in the United States on June 14, 2019","you can list upcoming cruises. the app asks for the date and time that the cruise departs. It then asks for the cruise destination, i.e.”Southern Caribbean.”. it will then tell you how many days and hours until the cruise departs. Don’t make a mistake when entering cruise information as there is no edit or delete option. I did make a mistake when entering one of our cruises and the only way to correct it was to disable the app which deleted all of the cruises and then re-enable the app and start over."
B06W5WNQ5D,Where's My Droid,Utilities,FatJesus,4.0 out of 5 stars,lol about sons phone,"Reviewed in the United States on December 20, 2020",your son is playing you like a fool. he has an app that blocks yourr app so you can not track him. simply its not the skill that is the problem the problem is that you trust your son too much and think he is not that sneaky... he is sneaky and he is coning you! so for those with kids if you want this app to work on your kids phone you need to have total access to your kids phone and they can not download or instal apps on thier phone to decieve you or block you. trust me on this is your going to track them you need to be honest and authortarian! there is no such thing as democracy in your home! that is the only way your ever going to have control in tracking your children.
B06W5WNQ5D,Where's My Droid,Utilities,CJ Smith,1.0 out of 5 stars,Unable to link accounts,"Reviewed in the United States on April 30, 2018","Exactly what the headline says. Can't link the accounts, it lets me log in when I click the link accounts button, but I have no options after that, and the online dashboard at the where's my Droid website doesn't give me the option to add a device."
B06W5WNQ5D,Where's My Droid,Utilities,Rohit (NZ),1.0 out of 5 stars,There is a reason it doesnt work,"Reviewed in the United States on November 9, 2019","1. The instructions to link accounts should be in bold, its too easy to miss.  I  missed it the first time.2. its all linked, but Alexa can not find it. I think its because the phrase is a mouthful. Either you or Alexa should allow changing the phrase."
B06W5WNQ5D,Where's My Droid,Utilities,Shauna S,1.0 out of 5 stars,upgrade at Commander web site? nope,"Reviewed in the United States on February 6, 2019",This skill works if you register an account and upgrade it so your android device can be found via GPS or Wifi. I hate when apps hide paid services behing seemingly free ones.
B06W5WNQ5D,Where's My Droid,Utilities,Kathy Watters,5.0 out of 5 stars,A most frequently used app!,"Reviewed in the United States on June 25, 2019",Super convenient in finding where I laid my phone last.  This app in general is fabulous. We have multiple phones in my household that use this app and this skill could use an improvement on how you transition between devices.  There are so many words we have to say exactly that we just gave up in using it to find my husband's phone.  Works great for me but not for him
B06W5WNQ5D,Where's My Droid,Utilities,NikkiRoxi1,4.0 out of 5 stars,Works like I expect,"Reviewed in the United States on July 10, 2018",I just installed and enabled. Tested it out and it turned on my ringer even though the ringer was turned off. Just wish the command to launch the skill wasn’t so wordy. I might forget to say all of that. Can you consider something simple like Alexa ring my droid.
B06W5WNQ5D,Where's My Droid,Utilities,SCAN2 NYC,4.0 out of 5 stars,Alexa cant find 2 phones on account,"Reviewed in the United States on November 1, 2020","When i set my default device alexa only locates that one, i tried asking by name of the device but it still tell me were my default phone is. What am i doing wrong?"
B06W5WNQ5D,Where's My Droid,Utilities,James C,2.0 out of 5 stars,Can't make wifes phone ring,"Reviewed in the United States on April 15, 2017",Need to be able to ring phones by name. It will only make my phone ring even when I specify a different phone.
B06W5WNQ5D,Where's My Droid,Utilities,Jay S,1.0 out of 5 stars,Somethings wrong,"Reviewed in the United States on March 16, 2018","I have a Galaxy J3 phone and the latest software on my phone and Alexa. When I say, ""Alexa, open Where's My Droid"", she answers with, ""hmmm, somethings wrong"". I've uninstalled the app, reinstalled it and no change. Restarted the phone and Alexa, and no change."
B06W5WNQ5D,Where's My Droid,Utilities,Bruce R. Barney,5.0 out of 5 stars,Worked as Advertised,"Reviewed in the United States on June 18, 2019",It not only gives me the address of my phone but will continue to ring it until I find it.  great App
B06W5WNQ5D,Where's My Droid,Utilities,Realtor J. Rives,4.0 out of 5 stars,Again...here's how to link,"Reviewed in the United States on January 9, 2018",Again...you where upset because Alexa didn't tell you how to link...well here ya go...where it shows Alexa skills click on wmd and I will have 2 buttonsDisable skills and settings...click on settings and BAM...link!!!
B06W5WNQ5D,Where's My Droid,Utilities,Colleen,1.0 out of 5 stars,Doesnt work,"Reviewed in the United States on December 27, 2018",Doesn't allow me to link
B06W5WNQ5D,Where's My Droid,Utilities,Alexis I,1.0 out of 5 stars,couldn't get it to find the phone in my hand,"Reviewed in the United States on August 13, 2019",just trying to register my phone while it's in my hand and it can't find it
B06W5WNQ5D,Where's My Droid,Utilities,Chris W,5.0 out of 5 stars,Find works,"Reviewed in the United States on December 6, 2018",Used it many times to find my phone while the ringer was off. Works well with alexa and has online map and camera features
B06W5WNQ5D,Where's My Droid,Utilities,Elizabeth Steinbacher,1.0 out of 5 stars,Terrible App,"Reviewed in the United States on December 1, 2019","I installed this to use with my son’s phone.  It didn’t work.  We were sure the settings in his phone app were correct, and I disabled and re-enabled it, and still nothing.  It worked the first time I installed it, then for some reason it stopped working.  I installed Cell Phone Finder instead.  Works great."
B06W5WNQ5D,Where's My Droid,Utilities,Shaun Turner,5.0 out of 5 stars,Link your account,"Reviewed in the United States on March 25, 2018",Works perfectly. Tells me where my phone is and/or makes it ring. Even when silent.
B06W5WNQ5D,Where's My Droid,Utilities,Philip S,5.0 out of 5 stars,The best Android device App meets Alexa,"Reviewed in the United States on March 1, 2017","There's no Android app that comes close to WMD. When I got two Alexas I shot Alienman a note saying how cool it would be to say Alexa, Where's My Droid and a few weeks later, it's here."
B06W5WNQ5D,Where's My Droid,Utilities,Keith,5.0 out of 5 stars,Love it,"Reviewed in the United States on August 2, 2018",You never will lose your phone again.
B06W5WNQ5D,Where's My Droid,Utilities,jose menjivar,5.0 out of 5 stars,it really works,"Reviewed in the United States on February 25, 2019","i just created an account in where is my droid, and then enable the skill, i have the basic app, you dont need to pay for elite version to use it with your alexa."
B06W5WNQ5D,Where's My Droid,Utilities,Brenda Piercy,3.0 out of 5 stars,great idea,"Reviewed in the United States on December 28, 2018","I would really like to use this, but I can't get it to link.."
B06W5WNQ5D,Where's My Droid,Utilities,Our Family,2.0 out of 5 stars,What is the second command?,"Reviewed in the United States on June 21, 2017",I ask Where's my droid and it tells me to wait ones minute and ask for the location. How the hell do you get the location?
B06W5WNQ5D,Where's My Droid,Utilities,Amazon Customer,5.0 out of 5 stars,works perfectly,"Reviewed in the United States on January 9, 2022","Followed instructions, had it set up within 5 mins"
B06W5WNQ5D,Where's My Droid,Utilities,AreEyeCue,5.0 out of 5 stars,It works great,"Reviewed in the United States on May 10, 2017",What can I say... I find my phone at all times...unless I'm not at home ☹
B06W5WNQ5D,Where's My Droid,Utilities,Amazon Customer,1.0 out of 5 stars,It won't ring,"Reviewed in the United States on March 19, 2017","The phone doesn't ring when asked while in silent mode, it just turns the phone from silent to volume up... but the ringing doesn't take place. I'd have to get a phone now and physically call."
B06W5WNQ5D,Where's My Droid,Utilities,cdragonm,5.0 out of 5 stars,Not working... Wth,"Reviewed in the United States on January 30, 2018",I love the app I love the skill and my account is linked not an issue to report!
B06W5WNQ5D,Where's My Droid,Utilities,BillyBobBooooooJohnson,4.0 out of 5 stars,Great app... But missing Xtra accounts. :(,"Reviewed in the United States on June 23, 2017",Amazing app!  But wMD allows me to have up to 4 devices on my wmd account.  But when using Alexa... I only have access to one wmd account. :(Outside of that.... an amazing first start for wmd.
B06W5WNQ5D,Where's My Droid,Utilities,Daniel ,1.0 out of 5 stars,Doesn't work,"Reviewed in the United States on August 31, 2019",couldn't find my phonedoesn't give tipsasked me to register device but no device listed
B06W5WNQ5D,Where's My Droid,Utilities,nunyo,1.0 out of 5 stars,linking issue,"Reviewed in the United States on January 3, 2019",unable to link account
